Date,Open,High,Low,Close,Adj Close,Volume
2010-09-03,2.450000,2.482500,2.420000,2.475000,2.270816,56648400
2010-09-07,2.467500,2.555000,2.462500,2.497500,2.291460,89982000
2010-09-08,2.502500,2.597500,2.475000,2.580000,2.367153,122415600
2010-09-09,2.612500,2.615000,2.512500,2.545000,2.335041,69774800
2010-09-10,2.562500,2.570000,2.495000,2.517500,2.309809,60929200
2010-09-13,2.562500,2.692500,2.562500,2.660000,2.440554,101579200
2010-09-14,2.637500,2.670000,2.612500,2.635000,2.417616,69853600
2010-09-15,2.610000,2.642500,2.575000,2.640000,2.422204,55557200
2010-09-16,2.605000,2.665000,2.605000,2.642500,2.424498,36528000
2010-09-17,2.667500,2.670000,2.630000,2.637500,2.419910,41688400
2010-09-20,2.637500,2.687500,2.612500,2.677500,2.456610,44316800
2010-09-21,2.662500,2.867500,2.662500,2.822500,2.589648,177962400
2010-09-22,2.812500,2.872500,2.795000,2.847500,2.612585,99999600
2010-09-23,2.880000,2.995000,2.855000,2.905000,2.665342,124087200
2010-09-24,2.970000,3.075000,2.947500,3.065000,2.812142,108697600
2010-09-27,3.087500,3.090000,2.960000,3.000000,2.752504,99950400
2010-09-28,3.002500,3.035000,2.940000,2.992500,2.745623,72319200
2010-09-29,2.965000,3.057500,2.937500,2.970000,2.724979,97490400
2010-09-30,3.007500,3.042500,2.895000,2.920000,2.679105,78763200
2010-10-01,2.962500,2.967500,2.815000,2.837500,2.603411,99912000
2010-10-04,2.810000,2.857500,2.752500,2.810000,2.578180,74950000
2010-10-05,2.870000,2.875000,2.822500,2.830000,2.596529,75358800
2010-10-06,2.830000,2.842500,2.667500,2.695000,2.472666,105760400
2010-10-07,2.707500,2.710000,2.595000,2.675000,2.454317,76148800
2010-10-08,2.665000,2.737500,2.627500,2.715000,2.491016,70693200
2010-10-11,2.727500,2.750000,2.690000,2.702500,2.479548,44268000
2010-10-12,2.680000,2.767500,2.657500,2.755000,2.527716,60520800
2010-10-13,2.800000,2.875000,2.770000,2.835000,2.601117,96873200
2010-10-14,2.837500,2.842500,2.777500,2.790000,2.559829,59917200
2010-10-15,2.835000,2.867500,2.790000,2.822500,2.589648,63994000
2010-10-18,2.825000,2.852500,2.775000,2.840000,2.605705,44815600
2010-10-19,2.777500,2.842500,2.755000,2.822500,2.589648,86613600
2010-10-20,2.825000,2.900000,2.775000,2.822500,2.589648,76353200
2010-10-21,2.825000,2.830000,2.730000,2.772500,2.543773,101442800
2010-10-22,2.790000,2.972500,2.760000,2.950000,2.706628,132267600
2010-10-25,2.972500,3.000000,2.945000,2.977500,2.731861,67313600
2010-10-26,2.942500,3.012500,2.917500,2.967500,2.722686,67524800
2010-10-27,2.940000,3.020000,2.932500,3.010000,2.761679,49679600
2010-10-28,3.050000,3.060000,2.985000,3.012500,2.763973,70444800
2010-10-29,3.007500,3.037500,2.975000,3.005000,2.757092,55466400
2010-11-01,3.025000,3.072500,2.985000,3.010000,2.761679,47392000
2010-11-02,3.022500,3.122500,3.005000,3.072500,2.819023,58103600
2010-11-03,3.092500,3.115000,3.012500,3.095000,2.839667,67174800
2010-11-04,3.125000,3.157500,3.095000,3.100000,2.844254,70001600
2010-11-05,3.122500,3.180000,3.107500,3.152500,2.892424,73511600
2010-11-08,3.150000,3.192500,3.125000,3.165000,2.903892,60515600
2010-11-09,3.165000,3.190000,3.130000,3.147500,2.887836,63396400
2010-11-10,3.170000,3.185000,3.125000,3.185000,2.922242,52101600
2010-11-11,3.110000,3.205000,3.067500,3.152500,2.892424,108998000
2010-11-12,3.272500,3.420000,3.257500,3.315000,3.041517,214256000
2010-11-15,3.330000,3.377500,3.267500,3.275000,3.004818,73354800
2010-11-16,3.220000,3.265000,3.172500,3.177500,2.915361,73935600
2010-11-17,3.175000,3.267500,3.145000,3.230000,2.963531,55176400
2010-11-18,3.272500,3.362500,3.272500,3.330000,3.055279,99312000
2010-11-19,3.322500,3.450000,3.317500,3.437500,3.153911,71648400
2010-11-22,3.415000,3.460000,3.385000,3.440000,3.156204,46266800
2010-11-23,3.400000,3.435000,3.335000,3.360000,3.082805,45783200
2010-11-24,3.395000,3.455000,3.392500,3.442500,3.158499,39778400
2010-11-26,3.440000,3.460000,3.400000,3.400000,3.119505,14310400
2010-11-29,3.385000,3.450000,3.370000,3.437500,3.153911,46819200
2010-11-30,3.385000,3.420000,3.340000,3.402500,3.121799,72093600
2010-12-01,3.470000,3.575000,3.465000,3.552500,3.259424,62653600
2010-12-02,3.552500,3.617500,3.550000,3.595000,3.298419,52931600
2010-12-03,3.577500,3.697500,3.570000,3.697500,3.392461,60604400
2010-12-06,3.710000,3.717500,3.612500,3.627500,3.328237,43842400
2010-12-07,3.712500,3.832500,3.705000,3.745000,3.436044,102681200
2010-12-08,3.740000,3.817500,3.712500,3.777500,3.465863,61325200
2010-12-09,3.687500,3.740000,3.635000,3.715000,3.408518,94240800
2010-12-10,3.715000,3.772500,3.705000,3.737500,3.429160,45190000
2010-12-13,3.752500,3.760000,3.632500,3.642500,3.341999,60910800
2010-12-14,3.712500,3.780000,3.642500,3.647500,3.346587,75516000
2010-12-15,3.655000,3.700000,3.562500,3.567500,3.273187,62417600
2010-12-16,3.605000,3.625000,3.562500,3.572500,3.277774,63187200
2010-12-17,3.575000,3.612500,3.532500,3.592500,3.296124,59315600
2010-12-20,3.605000,3.622500,3.575000,3.577500,3.282362,34408800
2010-12-21,3.612500,3.717500,3.610000,3.717500,3.410812,46695200
2010-12-22,3.710000,3.762500,3.675000,3.757500,3.447511,47798800
2010-12-23,3.757500,3.757500,3.715000,3.730000,3.422280,27378400
2010-12-27,3.720000,3.777500,3.652500,3.750000,3.440630,25550000
2010-12-28,3.750000,3.775000,3.712500,3.735000,3.426867,19426000
2010-12-29,3.732500,3.762500,3.700000,3.735000,3.426867,17766000
2010-12-30,3.730000,3.770000,3.717500,3.747500,3.438336,17448800
